Unnamed: 0,date,crime_rate,state,crime_rate_filled
0,1985-01-01,296.58,Alabama,296.58
0,1985-01-01,296.58,Alabama,296.58
1,1985-02-01,261.86,Alabama,261.86
1,1985-02-01,261.86,Alabama,261.86
2,1985-03-01,288.37,Alabama,288.37
2,1985-03-01,288.37,Alabama,288.37
3,1985-04-01,265.32,Alabama,265.32
3,1985-04-01,265.32,Alabama,265.32
4,1985-05-01,281.24,Alabama,281.24
4,1985-05-01,281.24,Alabama,281.24
5,1985-06-01,293.79,Alabama,293.79
5,1985-06-01,293.79,Alabama,293.79
6,1985-07-01,328.76,Alabama,328.76
6,1985-07-01,328.76,Alabama,328.76
7,1985-08-01,326.72,Alabama,326.72
7,1985-08-01,326.72,Alabama,326.72
8,1985-09-01,294.49,Alabama,294.49
8,1985-09-01,294.49,Alabama,294.49
9,1985-10-01,319.99,Alabama,319.99
9,1985-10-01,319.99,Alabama,319.99
10,1985-11-01,295.97,Alabama,295.97
10,1985-11-01,295.97,Alabama,295.97
11,1985-12-01,300.18,Alabama,300.18
11,1985-12-01,300.18,Alabama,300.18
12,1986-01-01,313.51,Alabama,313.51
12,1986-01-01,313.51,Alabama,313.51
13,1986-02-01,290.72,Alabama,290.72
13,1986-02-01,290.72,Alabama,290.72
14,1986-03-01,311.88,Alabama,311.88
14,1986-03-01,311.88,Alabama,311.88
15,1986-04-01,290.23,Alabama,290.23
15,1986-04-01,290.23,Alabama,290.23
16,1986-05-01,307.93,Alabama,307.93
16,1986-05-01,307.93,Alabama,307.93
17,1986-06-01,313.62,Alabama,313.62
17,1986-06-01,313.62,Alabama,313.62
18,1986-07-01,342.11,Alabama,342.11
18,1986-07-01,342.11,Alabama,342.11
19,1986-08-01,345.48,Alabama,345.48
19,1986-08-01,345.48,Alabama,345.48
20,1986-09-01,334.38,Alabama,334.38
20,1986-09-01,334.38,Alabama,334.38
21,1986-10-01,326.67,Alabama,326.67
21,1986-10-01,326.67,Alabama,326.67
22,1986-11-01,307.34,Alabama,307.34
22,1986-11-01,307.34,Alabama,307.34
23,1986-12-01,322.49,Alabama,322.49
23,1986-12-01,322.49,Alabama,322.49
24,1987-01-01,333.24,Alabama,333.24
24,1987-01-01,333.24,Alabama,333.24
25,1987-02-01,317.37,Alabama,317.37
25,1987-02-01,317.37,Alabama,317.37
26,1987-03-01,335.07,Alabama,335.07
26,1987-03-01,335.07,Alabama,335.07
27,1987-04-01,301.75,Alabama,301.75
27,1987-04-01,301.75,Alabama,301.75
28,1987-05-01,315.56,Alabama,315.56
28,1987-05-01,315.56,Alabama,315.56
29,1987-06-01,322.5,Alabama,322.5
29,1987-06-01,322.5,Alabama,322.5
30,1987-07-01,357.37,Alabama,357.37
30,1987-07-01,357.37,Alabama,357.37
31,1987-08-01,368.18,Alabama,368.18
31,1987-08-01,368.18,Alabama,368.18
32,1987-09-01,338.88,Alabama,338.88
32,1987-09-01,338.88,Alabama,338.88
33,1987-10-01,343.27,Alabama,343.27
33,1987-10-01,343.27,Alabama,343.27
34,1987-11-01,326.82,Alabama,326.82
34,1987-11-01,326.82,Alabama,326.82
35,1987-12-01,351.3,Alabama,351.3
35,1987-12-01,351.3,Alabama,351.3
36,1988-01-01,316.8,Alabama,316.8
36,1988-01-01,316.8,Alabama,316.8
37,1988-02-01,342.47,Alabama,342.47
37,1988-02-01,342.47,Alabama,342.47
38,1988-03-01,305.26,Alabama,305.26
38,1988-03-01,305.26,Alabama,305.26
39,1988-04-01,283.22,Alabama,283.22
39,1988-04-01,283.22,Alabama,283.22
40,1988-05-01,307.33,Alabama,307.33
40,1988-05-01,307.33,Alabama,307.33
41,1988-06-01,327.21,Alabama,327.21
41,1988-06-01,327.21,Alabama,327.21
42,1988-07-01,369.42,Alabama,369.42
42,1988-07-01,369.42,Alabama,369.42
43,1988-08-01,403.33,Alabama,403.33
43,1988-08-01,403.33,Alabama,403.33
44,1988-09-01,364.89,Alabama,364.89
44,1988-09-01,364.89,Alabama,364.89
45,1988-10-01,330.63,Alabama,330.63
45,1988-10-01,330.63,Alabama,330.63
46,1988-11-01,318.9,Alabama,318.9
46,1988-11-01,318.9,Alabama,318.9
47,1988-12-01,354.86,Alabama,354.86
47,1988-12-01,354.86,Alabama,354.86
48,1989-01-01,370.46,Alabama,370.46
48,1989-01-01,370.46,Alabama,370.46
49,1989-02-01,314.61,Alabama,314.61
49,1989-02-01,314.61,Alabama,314.61
50,1989-03-01,339.49,Alabama,339.49
50,1989-03-01,339.49,Alabama,339.49
51,1989-04-01,327.63,Alabama,327.63
51,1989-04-01,327.63,Alabama,327.63
52,1989-05-01,365.76,Alabama,365.76
52,1989-05-01,365.76,Alabama,365.76
53,1989-06-01,375.75,Alabama,375.75
53,1989-06-01,375.75,Alabama,375.75
54,1989-07-01,391.14,Alabama,391.14
54,1989-07-01,391.14,Alabama,391.14
55,1989-08-01,390.72,Alabama,390.72
55,1989-08-01,390.72,Alabama,390.72
56,1989-09-01,353.56,Alabama,353.56
56,1989-09-01,353.56,Alabama,353.56
57,1989-10-01,326.99,Alabama,326.99
57,1989-10-01,326.99,Alabama,326.99
58,1989-11-01,314.57,Alabama,314.57
58,1989-11-01,314.57,Alabama,314.57
59,1989-12-01,321.78,Alabama,321.78
59,1989-12-01,321.78,Alabama,321.78
60,1990-01-01,160.54,Alabama,160.54
60,1990-01-01,160.54,Alabama,160.54
61,1990-02-01,147.36,Alabama,147.36
61,1990-02-01,147.36,Alabama,147.36
62,1990-03-01,154.25,Alabama,154.25
62,1990-03-01,154.25,Alabama,154.25
63,1990-04-01,155.81,Alabama,155.81
63,1990-04-01,155.81,Alabama,155.81
64,1990-05-01,158.49,Alabama,158.49
64,1990-05-01,158.49,Alabama,158.49
65,1990-06-01,158.59,Alabama,158.59
65,1990-06-01,158.59,Alabama,158.59
66,1990-07-01,172.36,Alabama,172.36
66,1990-07-01,172.36,Alabama,172.36
67,1990-08-01,173.41,Alabama,173.41
67,1990-08-01,173.41,Alabama,173.41
68,1990-09-01,161.64,Alabama,161.64
68,1990-09-01,161.64,Alabama,161.64
69,1990-10-01,169.98,Alabama,169.98
69,1990-10-01,169.98,Alabama,169.98
70,1990-11-01,159.39,Alabama,159.39
70,1990-11-01,159.39,Alabama,159.39
71,1990-12-01,2549.75,Alabama,2549.75
71,1990-12-01,2549.75,Alabama,2549.75
72,1991-01-01,27.26,Alabama,27.26
72,1991-01-01,27.26,Alabama,27.26
73,1991-02-01,23.11,Alabama,23.11
73,1991-02-01,23.11,Alabama,23.11
74,1991-03-01,440.05,Alabama,440.05
74,1991-03-01,440.05,Alabama,440.05
75,1991-04-01,28.93,Alabama,28.93
75,1991-04-01,28.93,Alabama,28.93
76,1991-05-01,32.71,Alabama,32.71
76,1991-05-01,32.71,Alabama,32.71
77,1991-06-01,435.18,Alabama,435.18
77,1991-06-01,435.18,Alabama,435.18
78,1991-07-01,0.0,Alabama,0.0
78,1991-07-01,0.0,Alabama,0.0
79,1991-08-01,0.0,Alabama,0.0
79,1991-08-01,0.0,Alabama,0.0
80,1991-09-01,445.38,Alabama,445.38
80,1991-09-01,445.38,Alabama,445.38
81,1991-10-01,0.0,Alabama,0.0
81,1991-10-01,0.0,Alabama,0.0
82,1991-11-01,0.0,Alabama,0.0
82,1991-11-01,0.0,Alabama,0.0
83,1991-12-01,3082.15,Alabama,3082.15
83,1991-12-01,3082.15,Alabama,3082.15
84,1992-01-01,1.49,Alabama,1.49
84,1992-01-01,1.49,Alabama,1.49
85,1992-02-01,1.79,Alabama,1.79
85,1992-02-01,1.79,Alabama,1.79
86,1992-03-01,491.02,Alabama,491.02
86,1992-03-01,491.02,Alabama,491.02
87,1992-04-01,1.76,Alabama,1.76
87,1992-04-01,1.76,Alabama,1.76
88,1992-05-01,2.54,Alabama,2.54
88,1992-05-01,2.54,Alabama,2.54
89,1992-06-01,488.84,Alabama,488.84
89,1992-06-01,488.84,Alabama,488.84
90,1992-07-01,2.3,Alabama,2.3
90,1992-07-01,2.3,Alabama,2.3
91,1992-08-01,2.06,Alabama,2.06
91,1992-08-01,2.06,Alabama,2.06
92,1992-09-01,497.97,Alabama,497.97
92,1992-09-01,497.97,Alabama,497.97
93,1992-10-01,1.99,Alabama,1.99
93,1992-10-01,1.99,Alabama,1.99
94,1992-11-01,1.55,Alabama,1.55
94,1992-11-01,1.55,Alabama,1.55
95,1992-12-01,2791.73,Alabama,2791.73
95,1992-12-01,2791.73,Alabama,2791.73
96,1993-01-01,175.68,Alabama,175.68
96,1993-01-01,175.68,Alabama,175.68
97,1993-02-01,141.62,Alabama,141.62
97,1993-02-01,141.62,Alabama,141.62
98,1993-03-01,465.13,Alabama,465.13
98,1993-03-01,465.13,Alabama,465.13
99,1993-04-01,171.42,Alabama,171.42
99,1993-04-01,171.42,Alabama,171.42
100,1993-05-01,180.05,Alabama,180.05
100,1993-05-01,180.05,Alabama,180.05
101,1993-06-01,497.5,Alabama,497.5
101,1993-06-01,497.5,Alabama,497.5
102,1993-07-01,300.06,Alabama,300.06
102,1993-07-01,300.06,Alabama,300.06
103,1993-08-01,293.65,Alabama,293.65
103,1993-08-01,293.65,Alabama,293.65
104,1993-09-01,254.27,Alabama,254.27
104,1993-09-01,254.27,Alabama,254.27
105,1993-10-01,249.86,Alabama,249.86
105,1993-10-01,249.86,Alabama,249.86
106,1993-11-01,284.07,Alabama,284.07
106,1993-11-01,284.07,Alabama,284.07
107,1993-12-01,2646.54,Alabama,2646.54
107,1993-12-01,2646.54,Alabama,2646.54
108,1994-01-01,263.56,Alabama,263.56
108,1994-01-01,263.56,Alabama,263.56
109,1994-02-01,267.86,Alabama,267.86
109,1994-02-01,267.86,Alabama,267.86
110,1994-03-01,256.96,Alabama,256.96
110,1994-03-01,256.96,Alabama,256.96
111,1994-04-01,265.5,Alabama,265.5
111,1994-04-01,265.5,Alabama,265.5
112,1994-05-01,274.49,Alabama,274.49
112,1994-05-01,274.49,Alabama,274.49
113,1994-06-01,267.88,Alabama,267.88
113,1994-06-01,267.88,Alabama,267.88
114,1994-07-01,263.86,Alabama,263.86
114,1994-07-01,263.86,Alabama,263.86
115,1994-08-01,273.72,Alabama,273.72
115,1994-08-01,273.72,Alabama,273.72
116,1994-09-01,284.05,Alabama,284.05
116,1994-09-01,284.05,Alabama,284.05
117,1994-10-01,271.75,Alabama,271.75
117,1994-10-01,271.75,Alabama,271.75
118,1994-11-01,286.42,Alabama,286.42
118,1994-11-01,286.42,Alabama,286.42
119,1994-12-01,2646.6,Alabama,2646.6
119,1994-12-01,2646.6,Alabama,2646.6
