date,crime_rate,state
1985-01-01,296.58,Alabama
1985-02-01,261.86,Alabama
1985-03-01,288.37,Alabama
1985-04-01,265.32,Alabama
1985-05-01,281.24,Alabama
1985-06-01,293.79,Alabama
1985-07-01,328.76,Alabama
1985-08-01,326.72,Alabama
1985-09-01,294.49,Alabama
1985-10-01,319.99,Alabama
1985-11-01,295.97,Alabama
1985-12-01,300.18,Alabama
1986-01-01,313.51,Alabama
1986-02-01,290.72,Alabama
1986-03-01,311.88,Alabama
1986-04-01,290.23,Alabama
1986-05-01,307.93,Alabama
1986-06-01,313.62,Alabama
1986-07-01,342.11,Alabama
1986-08-01,345.48,Alabama
1986-09-01,334.38,Alabama
1986-10-01,326.67,Alabama
1986-11-01,307.34,Alabama
1986-12-01,322.49,Alabama
1987-01-01,333.24,Alabama
1987-02-01,317.37,Alabama
1987-03-01,335.07,Alabama
1987-04-01,301.75,Alabama
1987-05-01,315.56,Alabama
1987-06-01,322.5,Alabama
1987-07-01,357.37,Alabama
1987-08-01,368.18,Alabama
1987-09-01,338.88,Alabama
1987-10-01,343.27,Alabama
1987-11-01,326.82,Alabama
1987-12-01,351.3,Alabama
1988-01-01,316.8,Alabama
1988-02-01,342.47,Alabama
1988-03-01,305.26,Alabama
1988-04-01,283.22,Alabama
1988-05-01,307.33,Alabama
1988-06-01,327.21,Alabama
1988-07-01,369.42,Alabama
1988-08-01,403.33,Alabama
1988-09-01,364.89,Alabama
1988-10-01,330.63,Alabama
1988-11-01,318.9,Alabama
1988-12-01,354.86,Alabama
1989-01-01,370.46,Alabama
1989-02-01,314.61,Alabama
1989-03-01,339.49,Alabama
1989-04-01,327.63,Alabama
1989-05-01,365.76,Alabama
1989-06-01,375.75,Alabama
1989-07-01,391.14,Alabama
1989-08-01,390.72,Alabama
1989-09-01,353.56,Alabama
1989-10-01,326.99,Alabama
1989-11-01,314.57,Alabama
1989-12-01,321.78,Alabama
1990-01-01,160.54,Alabama
1990-02-01,147.36,Alabama
1990-03-01,154.25,Alabama
1990-04-01,155.81,Alabama
1990-05-01,158.49,Alabama
1990-06-01,158.59,Alabama
1990-07-01,172.36,Alabama
1990-08-01,173.41,Alabama
1990-09-01,161.64,Alabama
1990-10-01,169.98,Alabama
1990-11-01,159.39,Alabama
1990-12-01,2549.75,Alabama
1991-01-01,27.26,Alabama
1991-02-01,23.11,Alabama
1991-03-01,440.05,Alabama
1991-04-01,28.93,Alabama
1991-05-01,32.71,Alabama
1991-06-01,435.18,Alabama
1991-07-01,0.0,Alabama
1991-08-01,0.0,Alabama
1991-09-01,445.38,Alabama
1991-10-01,0.0,Alabama
1991-11-01,0.0,Alabama
1991-12-01,3082.15,Alabama
1992-01-01,1.49,Alabama
1992-02-01,1.79,Alabama
1992-03-01,491.02,Alabama
1992-04-01,1.76,Alabama
1992-05-01,2.54,Alabama
1992-06-01,488.84,Alabama
1992-07-01,2.3,Alabama
1992-08-01,2.06,Alabama
