,date,crime_rate,state
0,1985-01-01,296.58,Alabama
1,1985-02-01,261.86,Alabama
2,1985-03-01,288.37,Alabama
3,1985-04-01,265.32,Alabama
4,1985-05-01,281.24,Alabama
5,1985-06-01,293.79,Alabama
6,1985-07-01,328.76,Alabama
7,1985-08-01,326.72,Alabama
8,1985-09-01,294.49,Alabama
9,1985-10-01,319.99,Alabama
10,1985-11-01,295.97,Alabama
11,1985-12-01,300.18,Alabama
12,1986-01-01,313.51,Alabama
13,1986-02-01,290.72,Alabama
14,1986-03-01,311.88,Alabama
15,1986-04-01,290.23,Alabama
16,1986-05-01,307.93,Alabama
17,1986-06-01,313.62,Alabama
18,1986-07-01,342.11,Alabama
19,1986-08-01,345.48,Alabama
20,1986-09-01,334.38,Alabama
21,1986-10-01,326.67,Alabama
22,1986-11-01,307.34,Alabama
23,1986-12-01,322.49,Alabama
24,1987-01-01,333.24,Alabama
25,1987-02-01,317.37,Alabama
26,1987-03-01,335.07,Alabama
27,1987-04-01,301.75,Alabama
28,1987-05-01,315.56,Alabama
29,1987-06-01,322.5,Alabama
30,1987-07-01,357.37,Alabama
31,1987-08-01,368.18,Alabama
32,1987-09-01,338.88,Alabama
33,1987-10-01,343.27,Alabama
34,1987-11-01,326.82,Alabama
35,1987-12-01,351.3,Alabama
36,1988-01-01,316.8,Alabama
37,1988-02-01,342.47,Alabama
38,1988-03-01,305.26,Alabama
39,1988-04-01,283.22,Alabama
40,1988-05-01,307.33,Alabama
41,1988-06-01,327.21,Alabama
42,1988-07-01,369.42,Alabama
43,1988-08-01,403.33,Alabama
44,1988-09-01,364.89,Alabama
45,1988-10-01,330.63,Alabama
46,1988-11-01,318.9,Alabama
47,1988-12-01,354.86,Alabama
48,1989-01-01,370.46,Alabama
49,1989-02-01,314.61,Alabama
50,1989-03-01,339.49,Alabama
51,1989-04-01,327.63,Alabama
52,1989-05-01,365.76,Alabama
53,1989-06-01,375.75,Alabama
54,1989-07-01,391.14,Alabama
55,1989-08-01,390.72,Alabama
56,1989-09-01,353.56,Alabama
57,1989-10-01,326.99,Alabama
58,1989-11-01,314.57,Alabama
59,1989-12-01,321.78,Alabama
60,1990-01-01,160.54,Alabama
61,1990-02-01,147.36,Alabama
62,1990-03-01,154.25,Alabama
63,1990-04-01,155.81,Alabama
64,1990-05-01,158.49,Alabama
65,1990-06-01,158.59,Alabama
66,1990-07-01,172.36,Alabama
67,1990-08-01,173.41,Alabama
68,1990-09-01,161.64,Alabama
69,1990-10-01,169.98,Alabama
70,1990-11-01,159.39,Alabama
71,1990-12-01,2549.75,Alabama
72,1991-01-01,27.26,Alabama
73,1991-02-01,23.11,Alabama
74,1991-03-01,440.05,Alabama
75,1991-04-01,28.93,Alabama
76,1991-05-01,32.71,Alabama
77,1991-06-01,435.18,Alabama
78,1991-07-01,0.0,Alabama
79,1991-08-01,0.0,Alabama
80,1991-09-01,445.38,Alabama
81,1991-10-01,0.0,Alabama
82,1991-11-01,0.0,Alabama
83,1991-12-01,3082.15,Alabama
84,1992-01-01,1.49,Alabama
85,1992-02-01,1.79,Alabama
86,1992-03-01,491.02,Alabama
87,1992-04-01,1.76,Alabama
88,1992-05-01,2.54,Alabama
89,1992-06-01,488.84,Alabama
90,1992-07-01,2.3,Alabama
91,1992-08-01,2.06,Alabama
92,1992-09-01,497.97,Alabama
93,1992-10-01,1.99,Alabama
94,1992-11-01,1.55,Alabama
95,1992-12-01,2791.73,Alabama
96,1993-01-01,175.68,Alabama
97,1993-02-01,141.62,Alabama
98,1993-03-01,465.13,Alabama
99,1993-04-01,171.42,Alabama
100,1993-05-01,180.05,Alabama
101,1993-06-01,497.5,Alabama
102,1993-07-01,300.06,Alabama
103,1993-08-01,293.65,Alabama
104,1993-09-01,254.27,Alabama
105,1993-10-01,249.86,Alabama
106,1993-11-01,284.07,Alabama
107,1993-12-01,2646.54,Alabama
108,1994-01-01,263.56,Alabama
109,1994-02-01,267.86,Alabama
110,1994-03-01,256.96,Alabama
111,1994-04-01,265.5,Alabama
112,1994-05-01,274.49,Alabama
113,1994-06-01,267.88,Alabama
114,1994-07-01,263.86,Alabama
115,1994-08-01,273.72,Alabama
116,1994-09-01,284.05,Alabama
117,1994-10-01,271.75,Alabama
118,1994-11-01,286.42,Alabama
119,1994-12-01,2646.6,Alabama
120,1995-01-01,181.37,Alabama
121,1995-02-01,180.98,Alabama
122,1995-03-01,370.71,Alabama
123,1995-04-01,176.56,Alabama
124,1995-05-01,184.34,Alabama
125,1995-06-01,361.38,Alabama
126,1995-07-01,268.37,Alabama
127,1995-08-01,467.2,Alabama
128,1995-09-01,240.22,Alabama
129,1995-10-01,251.65,Alabama
130,1995-11-01,254.31,Alabama
131,1995-12-01,2715.9,Alabama
132,1996-01-01,140.82,Alabama
133,1996-02-01,140.31,Alabama
134,1996-03-01,139.67,Alabama
135,1996-04-01,140.99,Alabama
136,1996-05-01,142.5,Alabama
137,1996-06-01,141.47,Alabama
138,1996-07-01,141.39,Alabama
139,1996-08-01,141.92,Alabama
140,1996-09-01,140.63,Alabama
141,1996-10-01,141.18,Alabama
142,1996-11-01,140.23,Alabama
143,1996-12-01,2758.13,Alabama
144,1997-01-01,7.77,Alabama
